t,e_line,u_L,u_R,v,omega
3.1200,0.200136,-0.097674,1.000000,0.293256,5.488369
3.1300,0.209984,-0.118447,1.000000,0.286505,5.592236
3.1400,0.219912,-0.139109,1.000000,0.279790,5.695543
3.1500,0.229892,-0.159580,1.000000,0.273136,5.797901
3.1600,0.239891,-0.179781,1.000000,0.266571,5.898903
3.1700,0.249878,-0.199626,1.000000,0.260122,5.998130
3.1800,0.259818,-0.219029,1.000000,0.253815,6.095147
3.1900,0.269673,-0.237903,1.000000,0.247682,6.189515
3.2000,0.279408,-0.256157,1.000000,0.241749,6.280784
3.2100,0.288981,-0.273701,1.000000,0.236047,6.368507
3.2200,0.298355,-0.290447,1.000000,0.230605,6.452236
3.2300,0.307488,-0.306306,1.000000,0.225450,6.531532
3.2400,0.316340,-0.321193,1.000000,0.220612,6.605966
3.2500,0.324868,-0.335025,1.000000,0.216117,6.675124
3.2600,0.333034,-0.347723,1.000000,0.211990,6.738617
3.2700,0.340796,-0.359216,1.000000,0.208255,6.796079
3.2800,0.348116,-0.369435,1.000000,0.204934,6.847175
3.2900,0.354957,-0.378321,1.000000,0.202046,6.891604
3.3000,0.361283,-0.385821,1.000000,0.199608,6.929106
3.3100,0.367060,-0.391892,1.000000,0.197635,6.959460
3.3200,0.372258,-0.396499,1.000000,0.196138,6.982493
3.3300,0.376850,-0.399615,1.000000,0.195125,6.998077
3.3400,0.380810,-0.401227,1.000000,0.194601,7.006134
3.3500,0.384119,-0.401327,1.000000,0.194569,7.006635
3.3600,0.386759,-0.399920,1.000000,0.195026,6.999601
3.3700,0.388718,-0.397020,1.000000,0.195969,6.985098
3.3800,0.389986,-0.392649,1.000000,0.197389,6.963244
3.3900,0.390558,-0.386840,1.000000,0.199277,6.934198
3.4000,0.390434,-0.379632,1.000000,0.201620,6.898161
3.4100,0.389618,-0.371075,1.000000,0.204401,6.855374
3.4200,0.388117,-0.361222,1.000000,0.207603,6.806110
3.4300,0.385942,-0.350135,1.000000,0.211206,6.750676
3.4400,0.383108,-0.337880,1.000000,0.215189,6.689401
3.4500,0.379634,-0.324527,1.000000,0.219529,6.622637
3.4600,0.375541,-0.310151,1.000000,0.224201,6.550754
3.4700,0.370853,-0.294826,1.000000,0.229181,6.474132
3.4800,0.365597,-0.278633,1.000000,0.234444,6.393163
3.4900,0.359801,-0.261648,1.000000,0.239964,6.308239
3.5000,0.353497,-0.243951,1.000000,0.245716,6.219755
3.5100,0.346716,-0.225621,1.000000,0.251673,6.128103
3.5200,0.339491,-0.206734,1.000000,0.257812,6.033669
3.5300,0.331856,-0.187366,1.000000,0.264106,5.936829
3.5400,0.323846,-0.167590,1.000000,0.270533,5.837949
3.5500,0.315495,-0.147476,1.000000,0.277070,5.737382
3.5600,0.306837,-0.127093,1.000000,0.283695,5.635466
3.5700,0.297906,-0.106505,1.000000,0.290386,5.532524
3.5800,0.288736,-0.085773,1.000000,0.297124,5.428863
3.5900,0.279360,-0.064954,1.000000,0.303890,5.324771
3.6000,0.269808,-0.044104,1.000000,0.310666,5.220518
3.6100,0.260113,-0.023272,1.000000,0.317437,5.116359
3.6200,0.250303,-0.002506,1.000000,0.324186,5.012529
3.6300,0.240407,0.018151,1.000000,0.330899,4.909246
3.6400,0.230451,0.038658,1.000000,0.337564,4.806712
3.6500,0.220461,0.058978,1.000000,0.344168,4.705110
3.6600,0.210461,0.079078,1.000000,0.350700,4.604610
3.6700,0.200473,0.098927,1.000000,0.357151,4.505365
3.6800,0.190520,0.118497,1.000000,0.363512,4.407514
3.6900,0.180619,0.137764,1.000000,0.369773,4.311181
3.7000,0.170791,0.156704,1.000000,0.375929,4.216480
3.7100,0.161051,0.175298,1.000000,0.381972,4.123510
3.7200,0.151415,0.193528,1.000000,0.387897,4.032359
3.7300,0.141898,0.211379,1.000000,0.393698,3.943107
3.7400,0.132512,0.228836,1.000000,0.399372,3.855820
3.7500,0.123269,0.245888,1.000000,0.404914,3.770559
3.7600,0.114180,0.262525,1.000000,0.410321,3.687375
3.7700,0.105256,0.278738,1.000000,0.415590,3.606310
3.7800,0.096503,0.294519,1.000000,0.420719,3.527403
3.7900,0.087931,0.309864,0.990136,0.422500,3.401363
3.8000,0.079545,0.324766,0.975234,0.422500,3.252345
3.8100,0.071350,0.339255,0.960745,0.422500,3.107449
3.8200,0.063345,0.353358,0.946642,0.422500,2.966420
3.8300,0.055530,0.367087,0.932913,0.422500,2.829135
3.8400,0.047904,0.380454,0.919546,0.422500,2.695461
3.8500,0.040464,0.393474,0.906526,0.422500,2.565261
3.8600,0.033206,0.406161,0.893839,0.422500,2.438392
3.8700,0.026128,0.418529,0.881471,0.422500,2.314707
3.8800,0.019224,0.430594,0.869406,0.422500,2.194056
3.8900,0.012489,0.442371,0.857629,0.422500,2.076286
3.9000,0.005918,0.453876,0.846124,0.422500,1.961243
3.9100,-0.000495,0.465125,0.834875,0.422500,1.848745
3.9200,-0.006757,0.476165,0.823835,0.422500,1.738348
3.9300,-0.012873,0.487010,0.812990,0.422500,1.629899
3.9400,-0.018851,0.497676,0.802324,0.422500,1.523245
3.9500,-0.024698,0.508177,0.791823,0.422500,1.418227
3.9600,-0.030420,0.518531,0.781469,0.422500,1.314688
3.9700,-0.036025,0.528753,0.771247,0.422500,1.212470
3.9800,-0.041521,0.538859,0.761141,0.422500,1.111412
3.9900,-0.046915,0.548865,0.751135,0.422500,1.011351
4.0000,-0.052215,0.558787,0.741213,0.422500,0.912126
4.0100,-0.057430,0.568643,0.731357,0.422500,0.813573
4.0200,-0.062566,0.578448,0.721552,0.422500,0.715525
4.0300,-0.067632,0.588218,0.711782,0.422500,0.617816
4.0400,-0.072636,0.597972,0.702028,0.422500,0.520278
4.0500,-0.077587,0.607726,0.692274,0.422500,0.422740
4.0600,-0.082493,0.617497,0.682503,0.422500,0.325031
4.0700,-0.087362,0.627302,0.672698,0.422500,0.226978
4.0800,-0.092202,0.637160,0.662840,0.422500,0.128404
4.0900,-0.097022,0.647087,0.652913,0.422500,0.029132
4.1000,-0.101831,0.657102,0.642898,0.422500,-0.071017
4.1100,-0.106638,0.667222,0.632778,0.422500,-0.172225
4.1200,-0.111451,0.677468,0.622532,0.422500,-0.274676
4.1300,-0.116279,0.687856,0.612144,0.422500,-0.378557
4.1400,-0.121131,0.698406,0.601594,0.422500,-0.484056
4.1500,-0.126016,0.709136,0.590864,0.422500,-0.591363
4.1600,-0.130943,0.720067,0.579933,0.422500,-0.700672
4.1700,-0.135921,0.731218,0.568782,0.422500,-0.812176
4.1800,-0.140960,0.742607,0.557393,0.422500,-0.926073
4.1900,-0.146070,0.754256,0.545744,0.422500,-1.042558
4.2000,-0.151258,0.766183,0.533817,0.422500,-1.161831
4.2100,-0.156536,0.778409,0.521591,0.422500,-1.284091
4.2200,-0.161911,0.790953,0.509047,0.422500,-1.409534
4.2300,-0.167395,0.803836,0.496164,0.422500,-1.538358
4.2400,-0.172996,0.817076,0.482924,0.422500,-1.670758
4.2500,-0.178724,0.830692,0.469308,0.422500,-1.806925
4.2600,-0.184587,0.844705,0.455295,0.422500,-1.947045
4.2700,-0.190597,0.859130,0.440870,0.422500,-2.091300
4.2800,-0.196760,0.873986,0.426014,0.422500,-2.239860
4.2900,-0.203087,0.889289,0.410711,0.422500,-2.392887
4.3000,-0.209586,0.905053,0.394947,0.422500,-2.550529
4.3100,-0.216265,0.921292,0.378708,0.422500,-2.712918
4.3200,-0.223131,0.938017,0.361983,0.422500,-2.880168
4.3300,-0.230193,0.955237,0.344763,0.422500,-3.052368
4.3400,-0.237455,0.972958,0.327042,0.422500,-3.229583
4.3500,-0.244923,0.991184,0.308816,0.422500,-3.411843
4.3600,-0.252603,1.000000,0.290086,0.419278,-3.549572
4.3700,-0.260496,1.000000,0.270856,0.413028,-3.645720
4.3800,-0.268603,1.000000,0.251171,0.406631,-3.744144
4.3900,-0.276917,1.000000,0.231077,0.400100,-3.844613
4.4000,-0.285434,1.000000,0.210596,0.393444,-3.947022
4.4100,-0.294145,1.000000,0.189750,0.386669,-4.051250
4.4200,-0.303044,1.000000,0.168568,0.379785,-4.157161
4.4300,-0.312120,1.000000,0.147080,0.372801,-4.264599
4.4400,-0.321363,1.000000,0.125322,0.365730,-4.373392
