time,e_line,u_L,u_R,v,omega
37.45,-0.00186351161239674,0.59738994141938,0.60261005858062,0.6,0.0261005858062013
37.46,-0.00178906965852195,0.597249536982991,0.602750463017009,0.6,0.027504630170091
37.47,-0.00171458297799888,0.597108689270352,0.602891310729648,0.6,0.028913107296481
37.48,-0.00164005343299061,0.596967401802648,0.603032598197352,0.6,0.0303259819735169
37.49,-0.00156548288673198,0.596825678112061,0.603174321887939,0.6,0.0317432188793876
37.5,-0.00149087320348272,0.596683521741674,0.603316478258326,0.6,0.0331647825832626
37.51,-0.00141622624848103,0.596540936245388,0.603459063754612,0.6,0.0345906375461158
37.52,-0.00134154388789688,0.596397925187835,0.603602074812165,0.6,0.036020748121649
37.53,-0.00126682798878536,0.596254492144282,0.603745507855718,0.6,0.0374550785571781
37.54,-0.00119208041904015,0.59611064070055,0.60388935929945,0.6,0.0388935929944989
37.55,-0.00111730304734655,0.595966374452916,0.604033625547084,0.6,0.040336255470842
37.56,-0.0010424977431349,0.595821697008028,0.604178302991972,0.6,0.041783029919723
37.57,-0.000967666376534033,0.595676611982816,0.604323388017184,0.6,0.0432338801718368
37.58,-0.000892810818324147,0.595531123004398,0.604468876995602,0.6,0.0446887699560194
37.59,-0.000817932939890304,0.59538523370999,0.60461476629001,0.6,0.0461476629000979
37.6,-0.000743034613175511,0.595238947746817,0.604761052253183,0.6,0.0476105225318302
37.61,-0.000668117710634142,0.595092268772022,0.604907731227978,0.6,0.0490773122797827
37.62,-0.000593184105184804,0.594945200452569,0.605054799547431,0.6,0.0505479954743071
37.63,-0.000518235670163679,0.59479774646516,0.60520225353484,0.6,0.0520225353484005
37.64,-0.000443274279277844,0.594649910496138,0.605350089503862,0.6,0.053500895038624
37.65,-0.000368301806558115,0.594501696241392,0.605498303758608,0.6,0.0549830375860805
37.66,-0.000293320126312403,0.594353107406272,0.605646892593728,0.6,0.0564689259372775
37.67,-0.000218331113078758,0.594204147705491,0.605795852294509,0.6,0.0579585229450896
37.68,-0.000143336641578711,0.594054820863035,0.605945179136965,0.6,0.0594517913696513
37.69,-6.83385866700893e-05,0.593905130612065,0.606094869387935,0.6,0.060948693879348
37.7,6.66117669963958e-06,0.593755080694831,0.606244919305169,0.6,0.0624491930516879
37.71,8.16607735403512e-05,0.593604674862572,0.606395325137428,0.6,0.063953251374278
37.72,0.000156658328865924,0.593453916875428,0.606546083124572,0.6,0.0654608312457183
37.73,0.000231651967741435,0.593302810502339,0.606697189497661,0.6,0.0669718949766096
37.74,0.000306639815329871,0.593151359520956,0.606848640479044,0.6,0.0684864047904377
37.75,0.00038161999693884,0.592999567717548,0.607000432282452,0.6,0.0700043228245173
37.76,0.000456590638067763,0.592847438886901,0.607152561113099,0.6,0.0715256111309948
37.77,0.000531549864454514,0.592694976832226,0.607305023167773,0.6,0.0730502316777348
37.78,0.000606495802122393,0.592542185365069,0.607457814634931,0.6,0.0745781463493111
37.79,0.000681426577426753,0.592389068305208,0.607610931694792,0.6,0.0761093169479177
37.8,0.000756340317102168,0.592235629480561,0.607764370519439,0.6,0.0776437051943868
